,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-01-02,100.64605698361349,102.82880305611641,99.11403614631726,100.60264969096897,101.54937380144706
2023-01-03,100.5293909312916,104.28095638846915,98.47902433543531,100.867556322609,100.86967409250175
2023-01-04,101.36099643773855,102.29421546689228,97.69257982211795,99.9756918872914,102.81076137250278
2023-01-05,103.26418682215674,101.72187493809861,96.51442083547008,100.80583091444741,103.17742510287542
2023-01-06,103.02566302157818,103.46842375773346,96.67152936650832,100.22801026981955,106.2576480685168
2023-01-09,102.78771047035843,102.58897288042618,95.55359546422719,100.42266388648969,105.31741351418424
2023-01-10,104.78698836141108,103.25268789205518,96.02724053196158,103.31091308500481,107.96124849284614
2023-01-11,105.80438794397445,104.36474439952046,96.04130164314118,103.26373523739034,108.34675122545995
2023-01-12,105.26122073723579,103.18019451794926,95.78350559292798,104.63115429982332,107.44532228510073
2023-01-13,105.99917773773768,103.17257676248815,94.56576631147512,103.88461722099242,106.80340077148054
2023-01-16,105.46271459395966,98.8974688213586,93.8327331582302,103.90696556595842,106.40984494489372
2023-01-17,104.92604046231232,97.64967556687559,94.98038896791726,105.99329347268072,107.12686887707508
2023-01-18,105.28316119970373,97.39740876522553,95.77953095780757,105.3258921118725,107.99670657497158
2023-01-19,102.9185684712814,95.88568591924654,94.46128579318734,107.48896302119657,107.21569598640774
2023-01-20,100.83971486688313,97.98762930792762,94.6870468097759,108.39028713681118,107.2649118193607
2023-01-23,100.2097237548542,96.23445052682321,95.83946456774922,107.7846960203082,110.56778992435245
2023-01-24,99.04188229538325,95.75129793019164,93.52579646152151,108.5991694729853,113.33039298072917
2023-01-25,99.4648870044494,95.98106537831748,94.37224259970417,109.82613363513298,114.11333955642708
2023-01-26,98.43082130312318,97.84660641929871,93.51917826607041,110.6432301393814,114.2653440813917
2023-01-27,96.81186615475225,96.08867393966753,94.40377430560807,108.79853399187778,114.54877224852893
2023-01-30,98.56297839719016,97.60890522417567,93.40791952521919,107.99358706612476,115.62429949372921
2023-01-31,98.34522167085935,97.69021635031437,90.96313242262119,107.76434853985633,114.06116349902575
2023-02-01,98.47408719680361,96.51211019964205,88.82430386729251,107.74077317901813,113.74141908740299
2023-02-02,96.83971491492994,97.15945023539435,88.96831241947845,108.54100625141383,111.17539253666023
2023-02-03,96.25552035821583,97.47888874817637,89.39498999078886,108.81829715514964,111.88570587380448
2023-02-06,96.43177105749898,96.78651380578668,88.26282484703488,107.28517924190646,112.98898208223575
2023-02-07,95.14807875326807,96.94209107146399,89.18772100446279,107.79823588996979,112.31504681646582
2023-02-08,95.62461612828871,96.52436015983942,87.04518213701238,108.58693555971652,114.87985241202286
2023-02-09,94.98319830648944,96.73437067047776,87.0372438793032,109.3207329433131,113.00033539554839
2023-02-10,94.69821784226615,97.63474505326548,85.5345247139869,110.6859945348341,110.77408772734547
2023-02-13,94.06180042508291,99.71614389223181,84.7751884111454,111.76774466500463,111.21079523368348
2023-02-14,96.19957477637163,98.18135274384669,84.91175955008472,112.39934205215872,112.93004475876917
2023-02-15,96.23209343639442,100.97259301899722,83.89229194187976,112.3800292795617,115.68271320851235
2023-02-16,95.05878063978486,98.48087806416956,83.48387631486149,110.39421007538135,115.03206970699603
